,Name,Type,Address,Rating,Num_of_user_ratings,url
0,Indianapolis Zoo,"['zoo', 'aquarium', 'tourist_attraction', 'point_of_interest', 'establishment']","1200 W Washington St, Indianapolis, IN 46222, United States",4.5,16737,https://www.google.com/maps/place/?q=place_id:ChIJK1-_KkxXa4gRazRkyTLNKBw
1,The Children's Museum of Indianapolis,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']","3000 N Meridian St, Indianapolis, IN 46208, United States",4.7,13120,https://www.google.com/maps/place/?q=place_id:ChIJ85UdlT5Ra4gRanF4kshOULk
2,Newfields,"['museum', 'park', 'point_of_interest', 'establishment']","4000 N Michigan Rd, Indianapolis, IN 46208, United States",4.7,4708,https://www.google.com/maps/place/?q=place_id:ChIJvcr7Ua5Wa4gR6pjfPZL9o9g
3,Indiana State Museum,"['museum', 'tourist_attraction', 'point_of_interest', 'store', 'establishment']","650 W Washington St, Indianapolis, IN 46204, United States",4.6,3339,https://www.google.com/maps/place/?q=place_id:ChIJNzJiEbFQa4gRkBVFg5gciGs
4,Café Patachou,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","225 W Washington St, Indianapolis, IN 46204, United States",4.5,2058,https://www.google.com/maps/place/?q=place_id:ChIJQ6RxsrtQa4gRoufC_3dS2OI
5,Charleston's Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']","6815 82nd St, Indianapolis, IN 46250, United States",4.5,1691,https://www.google.com/maps/place/?q=place_id:ChIJ5dYsTtdMa4gRRGUhlgGS4nI
6,Eiteljorg Museum,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']","500 W Washington St, Indianapolis, IN 46204, United States",4.6,1658,https://www.google.com/maps/place/?q=place_id:ChIJR21I4rBQa4gRqO49IzDADJo
7,Sero's Family Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']","11720 E Washington St, Indianapolis, IN 46229, United States",4.5,1310,https://www.google.com/maps/place/?q=place_id:ChIJN0nCjUVIa4gRWD1sjTCKvLs
8,Aristocrat Pub & Restaurant,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","5212 N College Ave, Indianapolis, IN 46220, United States",4.5,1301,https://www.google.com/maps/place/?q=place_id:ChIJg2M2EsVTa4gRmpWQYKqPX_0
9,Paragon Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']","118 S Girls School Rd, Indianapolis, IN 46231, United States",4.3,950,https://www.google.com/maps/place/?q=place_id:ChIJK6w0m3mobIgRWOlvH_OBGiw
10,Cafe Patachou,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","4901 N Pennsylvania St, Indianapolis, IN 46205, United States",4.6,840,https://www.google.com/maps/place/?q=place_id:ChIJc4PjsOhTa4gRf1OzILkRwO4
11,Daddy Jack's Restaurant & Bar,"['restaurant', 'food', 'point_of_interest', 'establishment']","9419 N Meridian St, Indianapolis, IN 46260, United States",4.5,632,https://www.google.com/maps/place/?q=place_id:ChIJoc1p-rasFIgRypSWhYGRCuQ
12,Neidhammer Coffee Co.,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2104 E Washington St Suite 1, Indianapolis, IN 46201, United States",4.6,529,https://www.google.com/maps/place/?q=place_id:ChIJLyx0CWZQa4gRKWNGDZ4p7oE
